1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,698,706,711,761,746,743,691,700,703,692,681,621,664,644,647,585,562,548,553,564,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,698,706,711,761,746,743,691,700,703,692,681,621,664,644,647,585,562,548,553,504,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,698,706,711,761,746,743,691,700,703,692,681,621,664,644,647,659,599,602,586,564,513,514,505
1147,1107,1083,1048,994,985,969,976,896,908,895,814,824,813,868,863,798,811,812,792,765,713,700,703,692,681,621,664,644,647,585,562,548,553,564,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,698,706,711,761,746,743,691,700,703,692,681,621,664,644,647,585,599,602,586,564,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,766,706,711,761,746,743,691,700,703,692,681,621,664,644,647,585,562,548,553,564,513,514,505
1147,1107,1083,1048,994,985,969,976,896,908,895,814,824,813,868,863,798,811,812,792,765,713,700,703,692,681,621,664,644,647,585,562,548,553,504,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,698,706,711,761,746,743,765,713,700,703,692,681,621,664,644,647,585,562,548,553,564,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,766,706,711,761,746,743,691,700,703,692,681,621,664,644,647,585,562,548,553,504,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,698,706,711,761,746,743,765,713,700,703,692,681,621,664,644,647,585,562,548,553,504,513,514,505
1147,1107,1083,1048,994,985,969,976,896,908,895,814,824,813,868,863,798,811,812,792,765,713,700,703,692,681,621,664,644,647,659,599,602,586,564,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,766,706,711,761,746,743,691,700,703,692,681,621,664,644,647,659,599,602,586,564,513,514,505
1147,1107,1083,1048,994,985,969,976,896,885,802,769,762,756,698,706,711,697,746,743,691,700,703,692,681,621,664,644,647,585,562,548,553,564,513,514,505
