index,value
0,347.488
1,358.359
2,261.63
3,261.683
4,306.672
5,335.697
6,314.156
7,375.594
8,41.6516
9,23.2023
10,3.54053
11,34.3493
12,0
13,44.0187
14,84.8822
15,128.302
16,36.4322
17,64.4594
18,41.7587
19,19.3646
20,152.617
21,6.33378
22,80.0706
23,73.8533
24,102.905
25,63.4446
26,12.9174
27,109.35
28,0
29,28.8514
30,0
31,26.4911
32,20.423
33,27.3181
34,42.7392
35,82.0586
36,27.7709
37,103.008
38,2.35233
39,123.011
40,47.1231
41,57.3995
42,28.0219
43,150.326
44,38.2626
45,80.4496
46,31.0681
47,61.2911
48,52.0836
49,38.3619
50,30.1973
51,49.0565
52,25.6227
53,0
54,93.3545
55,116.164
56,118.494
57,81.6194
